Title,Price_GBP,Availability,Category,ProductURL,TitleLength
Foolproof Preserving: A Guide to Small Batch Jams Jellies Pickles Condiments and More,30.52,In stock,Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,85
Chase Me (Paris Nights #2),25.27,In stock,Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,26
Black Dust,34.53,In stock,Fiction,https://books.toscrape.com/catalogue/black-dust_976/index.html,10
Birdsong: A Story in Pictures,54.64,In stock,Sequential Art,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,29
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,Sports and Games,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,107
Aladdin and His Wonderful Lamp,53.13,In stock,Classics,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,30
Worlds Elsewhere: Journeys Around Shakespeare's Globe,40.3,In stock,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,53
Wall and Piece,44.18,In stock,Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,14
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,Spirituality,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,58
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,73
The Elephant Tree,23.82,In stock,Default,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,17
The Bear and the Piano,36.89,In stock,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,22
Sophie's World,15.94,In stock,Philosophy,https://books.toscrape.com/catalogue/sophies-world_966/index.html,14
Penny Maybe,33.29,In stock,Contemporary,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,11
Maude (1883-1993): She Grew Up with the Country,18.02,In stock,Poetry,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,47
In a Dark Dark Wood,19.63,In stock,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19
Behind Closed Doors,52.22,In stock,Mystery,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,19
You can't bury them all: Poems,33.63,In stock,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,30
